collection||الجامع الصغير
hadith|81|أتاني جبريل فأمرني أن آمر أصحابي ومن معي أن يرفعوا أصواتهم بالتلبية
hadith|82|أتاني جبريل فقال لي: إن الله يأمرك أن تأمر أصحابك أن يرفعوا أصواتهم بالتلبية، فإنها من شعائر الحج
hadith|83|أتاني جبريل فقال: إن ربي وربك يقول لك: تدري كيف رفعت ذكرك؟ قلت: الله أعلم، قال: لا أذكر إلا ذكرت معي
hadith|84|أتاني جبريل في خضر تعلق به الدر
hadith|85|أتاني جبريل فقال: إذا توضأت فخلل لحيتك
hadith|86|أتاني جبريل بقدر فأكلت منها، فأعطيت قوة أربعين رجلا في الجماع
hadith|87|أتاني جبريل في أول ما أوحي إلي فعلمني الوضوء والصلاة، فلما فرغ الوضوء أخذ غرفة من الماء فنضح بها فرجه
hadith|88|أتاني جبريل في ثلاث بقين من ذي القعدة فقال: دخلت العمرة في الحج إلى يوم القيامة
hadith|89|أتاني جبريل فقال: يا محمد، عش ما شئت فإنك ميت، وأحبب من شئت فإنك مفارقه، واعمل ما شئت فإنك مجزي به، واعلم أن شرف المؤمن قيامه بالليل، وعزه استغناؤه عن الناس
hadith|90|أتاني آت من عند ربي فخيرني بين أن يدخل نصف أمتي الجنة وبين الشفاعة، فاخترت الشفاعة. وهي لمن مات لا يشرك بالله شيئا
hadith|91|أتاني آت من عند ربي عز وجل فقال: من صلى عليك من أمتك صلاة كتب الله له بها عشر حسنات ومحا عنه عشر سيئات، ورفع له عشر درجات، ورد عليه مثلها
hadith|92|أتاني ملك برسالة من الله عز وجل، ثم رفع رجله فوضعها فوق السماء والأخرى في الأرض لم يرفعها
hadith|93|أتاني ملك فسلم علي، نزل من السماء لم ينزل قبلها، فبشرني أن الحسن والحسين سيدا شباب أهل الجنة، وأن فاطمة سيدة نساء أهل الجنة
hadith|94|اتبعوا العلماء فإنهم سرج الدنيا ومصابيح الآخرة
hadith|95|أتتكم المنية راتبة لازمة. إما بشقاوة، وإما بسعادة
hadith|96|اتجروا في أموال اليتامى لا تأكلها الزكاة
hadith|97|أتحب أن يلين قلبك، وتدرك حاجتك؟ ارحم اليتيم، وامسح رأسه، وأطعمه من طعامك يلن قلبك وتدرك حاجتك
hadith|98|اتخذ الله إبراهيم خليلا، وموسى نجيا، واتخذني حبيبا ثم قال: وعزتي وجلالي لأوثرن حبيبي على خليلي ونجيي
hadith|99|اتخذوا السراويلات، فإنها من أستر ثيابكم، وحصنوا بها نساءكم إذا خرجن
hadith|100|اتخذوا السودان، فإن ثلاثة منهم من سادات أهل الجنة: لقمان الحكيم، والنجاشي، وبلال المؤذن
hadith|101|اتخذوا الديك الأبيض، فإن دارا فيها ديك أبيض لا يقربها شيطان، ولا ساحر، ولا الدويرات حولها
hadith|102|اتخذوا هذه الحمام المقاصيص في بيوتكم، فإنها تلهي الجن عن صبيانكم
hadith|103|اتخذوا الغنم فإنها بركة
hadith|104|اتخذوا عند الفقراء أيادي، فإن لهم دولة يوم القيامة
hadith|105|اتخذه من ورق ولا تتمه مثقالا، يعني الخاتم
hadith|106|أتدرون ما العضه؟ نقل الحديث من بعض الناس إلى بعض ليفسدوا بينهم
hadith|107|أترعوا الطسوس، وخالفوا المجوس
hadith|108|أترعون عن ذكر الفاجر أن تذكروه؟ فاذكروه يعرفه الناس
hadith|109|أترعون عن ذكر الفاجر؟ متى يعرفه الناس؟ اذكروا الفاجر بما فيه يحذره الناس
hadith|110|اتركوا الترك ما تركوكم، فإن أول من يسلب أمتي ملكهم وما خولهم الله بنو قنطوراء
hadith|111|اتركوا الحبشة ما تركوكم، فإنه لا يستخرج كنز الكعبة إلا ذو السويقتين من الحبشة
hadith|112|اتركوا الدنيا لأهلها، فإنه من أخذ منها فوق ما يكفيه أخذ من حتفه وهو لا يشعر
hadith|113|اتق الله فيما تعلم
hadith|114|اتق الله في عسرك ويسرك
hadith|115|اتق الله حيثما كنت، وأتبع السيئة الحسنة تمحها، وخالق الناس بخلق حسن
hadith|116|اتق الله، ولا تحقرن من المعروف شيئا، ولو أن تفرغ من دلوك في إناء المستسقي، وأن تلقى أخاك ووجهك إليه منبسط، وإياك وإسبال الإزار فإن إسبال الإزار من المخيلة ولا يحبها الله، وإن امرؤ شتمك وعيرك بأمر ليس هو فيك فلا تعيره بأمر هو فيه، ودعه يكون وباله عليه وأجره لك، ولا تسبن أحدا
hadith|117|اتق الله يا أبا الوليد، لا تأتي يوم القيامة ببعير تحمله له رغاء، أو بقرة لها خوار، أو شاة لها ثواج
hadith|118|اتق المحارم تكن أعبد الناس، وارض بما قسم الله لك تكن أغنى الناس، وأحسن إلى جارك تكن مؤمنا، وأحب للناس ما تحب لنفسك تكن مسلما، ولا تكثر الضحك فإن كثرة الضحك تميت القلب
hadith|119|اتق دعوة المظلوم، فإنما يسأل الله تعالى حقه، وإن الله تعالى لن يمنع ذا حق حقه
hadith|120|اتقوا الله في البهائم المعجمة: فاركبوها صالحة، وكلوها صالحة
hadith|121|اتقوا الله واعدلوا في أولادكم
hadith|122|اتقوا الله واعدلوا بين أولادكم كما تحبون أن يبروكم
hadith|123|اتقوا الله وأصلحوا ذات بينكم، فإن الله تعالى يصلح بين المؤمنين يوم القيامة
hadith|124|اتقوا الله فيما ملكت أيمانكم
hadith|125|اتقوا الله في الصلاة وما ملكت أيمانكم
hadith|126|اتقوا الله في الضعيفين: المملوك. والمرأة
hadith|127|اتقوا الله في الصلاة، اتقوا الله في الصلاة، اتقوا الله في الصلاة، اتقوا الله فيما ملكت أيمانكم، اتقوا الله فيما ملكت أيمانكم، اتقوا الله في الضعيفين: المرأة الأرملة. والصبي اليتيم
hadith|128|اتقوا الله، وصلوا خمسكم، وصوموا شهركم، وأدوا زكاة أموالكم، طيبة بها أنفسكم، وأطيعوا ذا أمركم، تدخلوا جنة ربكم
hadith|129|اتقوا الله وصلوا أرحامكم
hadith|130|اتقوا الله، فإن أخونكم عندنا من طلب العمل
hadith|131|اتقوا البول: فإنه أول ما يحاسب به العبد في القبر
hadith|132|اتقوا الحجر الحرام في البنيان، فإنه أساس الخراب
hadith|133|اتقوا الحديث عني إلا ما علمتم: فمن كذب علي متعمدا فليتبوأ مقعده من النار، ومن قال في القرآن برأيه فليتبوأ مقعده في النار
hadith|134|اتقوا الدنيا، واتقوا النساء، فإن إبليس طلاع رصاد. وما هو بشئ من فخوخه بأوثق لصيده في الأتقياء من النساء
hadith|135|اتقوا الظلم، فإن الظلم ظلمات يوم القيامة
hadith|136|اتقوا الظلم، فإن الظلم ظلمات يوم القيامة، واتقوا الشح، فإن الشح أهلك من كان قبلكم، وحملهم على أن سفكوا دماءهم واستحلوا محارمهم
hadith|137|اتقوا القدر، فإنه شعبة من النصرانية
hadith|138|اتقوا اللاعنين: الذي يتخلى في طريق الناس، أو في ظلهم
hadith|139|اتقوا الملاعن الثلاث: البراز في الموارد، وقارعة الطريق، والظل
hadith|140|اتقوا الملاعن الثلاث: أن يقعد أحدكم في ظل يستظل فيه، أو في طريق، أو في نقع ماء
hadith|141|اتقوا المجذوم كما يتقى الأسد
hadith|142|اتقوا صاحب الجذام كما يتقى السبع، إذا هبط واديا فاهبطوا غيره
hadith|143|اتقوا النار ولو بشق تمرة
hadith|144|اتقوا النار ولو بشق تمرة، فإن لم تجدوا فبكلمة طيبة
hadith|145|اتقوا الدنيا، فوالذي نفسي بيده إنها لأسحر من هاروت وماروت
hadith|146|اتقوا بيتا يقال له " الحمام " فمن دخله فليستتر
hadith|147|اتقوا زلة العالم، وانتظروا فيئته
hadith|148|اتقوا دعوة المظلوم، فإنها تحمل على الغمام، يقول الله: وعزتي وجلالي لأنصرنك ولو بعد حين
hadith|149|اتقوا دعوة المظلوم، فإنها تصعد إلى السماء كأنها شرارة
hadith|150|اتقوا دعوة المظلوم وإن كان كافرا، فإنها ليس دونها حجاب
hadith|151|اتقوا فراسة المؤمن، فإنه ينظر بنور الله عز وجل
hadith|152|اتقوا محاش النساء
hadith|153|اتقوا هذه المذابح، يعني المحاريب
hadith|154|اتقوا الركوع والسجود، فوالذي نفسي بيده إني لأراكم من وراء ظهري إذا ركعتم وإذا سجدتم
hadith|155|أتموا الصفوف، فإني أراكم خلف ظهري
hadith|156|أتموا الصف المقدم، ثم الذي يليه. فما كان من نقص فليكن من الصف المؤخر
hadith|157|أتموا الوضوء، ويل للأعقاب من النار
hadith|158|أتيت بمقاليد الدنيا على فرس أبلق، جاءني به جبريل عليه قطيفة من سندس
hadith|159|أثبتكم على الصراط أشدكم حبا لأهل بيتي، ولأصحابي
hadith|160|أثردوا ولو بالماء
hadith|161|اثنان فما فوقهما جماعة
hadith|162|اثنان لا ينظر الله إليهما يوم القيامة: قاطع الرحم، وجار السوء
hadith|163|اثنان خير من واحد، وثلاثة خير من اثنين، وأربعة خير من ثلاثة، فعليكم بالجماعة فإن الله لن يجمع أمتي إلا على هدى
hadith|164|اثنان لا تجاوز صلاتهما رؤوسهما: عبد أبق من مواليه حتى يرجع. وامرأة عصت زوجها حتى ترجع
hadith|165|اثنتان في الناس هما بهم كفر: الطعن في الأنساب والنياحة على الميت
hadith|166|اثنان يكرههما ابن آدم. الموت والموت خير له من الفتنة، ويكره قلة المال وقلة المال أقل للحساب
hadith|167|اثنان يجعلهما الله في الدنيا: البغي، وعقوق الوالدين
hadith|168|أثيبوا أخاكم، ادعوا له بالبركة، فإن الرجل إذا أكل طعامه وشرب شرابه، ثم دعي له بالبركة فذلك ثوابه منهم
hadith|169|اجتمعوا على طعامكم، واذكروا اسم الله، يبارك لكم فيه
hadith|170|اجتنب الغضب
hadith|171|اجتنبوا السبع الموبقات: الشرك بالله، والسحر، وقتل النفس التي حرم الله إلا بالحق، وأكل الربا، وأكل مال اليتيم، والتولي يوم الزحف، وقذف المحصنات المؤمنات الغافلات
hadith|172|اجتنبوا الخمر: فإنها مفتاح كل شر
hadith|173|اجتنبوا الوجوه لا تضربوها
hadith|174|اجتنبوا التكبر، فإن العبد لا يزال يتكبر حتى يقول الله تعالى: اكتبوا عبدي هذا في الجبارين
hadith|175|اجتنبوا هذه القاذورات التي نهى الله تعالى عنها، فمن ألم بشئ منها فليستتر بستر الله، وليتب إلى الله، فإنه من يبد لنا صفحته نقم عليه كتاب الله
hadith|176|اجتنبوا مجالس العشيرة
hadith|177|اجتنبوا الكبائر، وسددوا، وأبشروا
hadith|178|اجتنبوا دعوات المظلوم، ما بينها وبين الله حجاب
hadith|179|اجتنبوا كل مسكر
hadith|180|اجتنبوا ما أسكر
hadith|181|اجثوا على الركب، ثم قولوا: يا رب يا رب
hadith|182|أجرؤكم على قسم الجد أجرؤكم على النار
hadith|183|أجرؤكم على الفتيا أجرؤكم على النار
hadith|184|اجعل بين أذانك وإقامتك نفسا حتى يقضي المتوضئ حاجته في مهل، ويفرغ الآكل من طعامه في مهل
hadith|185|اجعلوا آخر صلاتكم بالليل وترا
hadith|186|اجعلوا أئمتكم خياركم، فإنهم وفدكم فيما بينكم وبين ربكم
hadith|187|اجعلوا من صلاتكم في بيوتكم، ولا تتخذوها قبورا
hadith|188|اجعلوا بينكم وبين الحرام سترا من الحلال، من فعل ذلك استبرأ لعرضه ودينه، ومن أرتع فيه كان كالمرتع إلى جنب الحمى يوشك أن يقع فيه. وإن لكل ملك حمى الله في الأرض محارمه
hadith|189|اجعلوا بينكم وبين النار حجابا، ولو بشق تمرة
hadith|190|أجلوا الله يغفر لكم
hadith|191|أجملوا في طب الدنيا: فإن كلا ميسر لما كتب له منها
hadith|192|أجوع الناس طالب العلم، وأشبعهم الذي لا يبتغيه
hadith|193|أجيبوا هذه الدعوة إذا دعيتم لها
hadith|194|أجيبوا الداعي، ولا تردوا الهدية، ولا تضربوا المسلمين
hadith|195|أجيفوا أبوابكم، وأكفئوا آنيتكم، وأوكئوا أسقيتكم، وأطفئوا سرجكم فإنهم لم يؤذن لهم بالتسور عليكم
hadith|196|أحب الأعمال إلى الله الصلاة لوقتها، ثم بر الوالدين، ثم الجهاد في سبيل الله
hadith|197|أحب الأعمال إلى الله تعالى أدومها وإن قل
hadith|198|أحب الأعمال إلى الله أن تموت ولسانك رطب من ذكر الله
hadith|199|أحب الأعمال إلي من أطعم مسكينا من جوع، أو دفع عنه مغرما أو كشف عنه كربا
hadith|200|أحب الأعمال إلى الله، بعد أداء الفرائض، إدخال السرور على المسلم
hadith|201|أحب الأعمال إلى الله لفظ اللسان
hadith|202|أحب الأعمال إلى الله الحب في الله، والبغض في الله
hadith|203|أحب أهلي إلي فاطمة
hadith|204|أحب أهل بيتي إلي الحسن والحسين
hadith|205|أحب الناس إلي عائشة، ومن الرجال أبوها
hadith|206|أحب الأسماء إلى الله: عبد الله، وعبد الرحمن
hadith|207|أحب الأسماء إلى الله ما تعبد له، وأصدق الأسماء همام وحارث
hadith|208|أحب الأديان إلى الله الحنيفية السمحة
hadith|209|أحب البلاد إلى الله مساجدها، وأبغض البلاد إلى الله أسواقها
hadith|210|أحب الجهاد إلى الله كلمة حق تقال لإمام جائر
hadith|211|أحب الحديث إلي أصدقه
hadith|212|أحب الصيام إلى الله صيام داود، كان يصوم يوما ويفطر يوما، وأحب الصلاة إلى الله صلاة داود، كان ينام نصف الليل ويقوم ثلثه وينام سدسه
hadith|213|أحب الطعام إلى الله ما كثرت عليه الأيدي
hadith|214|أحب الكلام إلى الله تعالى أن يقول العبد " سبحان الله وبحمده "
hadith|215|أحب الكلام إلى الله تعالى أربع: " سبحان الله، والحمد لله، ولا إله إلا الله، والله أكبر " لا يضرك بأيهن بدأت
hadith|216|أحب اللهو إلى الله تعالى إجراء الخيل والرمي
hadith|217|أحب العباد إلى الله تعالى أنفعهم لعياله
hadith|218|أحب عباد الله إلى الله أحسنهم خلقا
hadith|219|أحب بيوتكم إلى الله بيت فيه يتيم مكرم
hadith|220|أحب الله تعالى عبدا سمحا إذا باع، وسمحا إذا اشترى، وسمحا إذا قضى، وسمحا إذا اقتضى
hadith|221|أحبكم إلى الله أقلكم طعما وأخفكم بدنا
hadith|222|أحب للناس ما تحب لنفسك
hadith|223|أحبب حبيبك هونا ما عسى أن يكون بغيضك يوما ما وأبغض بغيضك هونا ما عسى أن يكون حبيبك يوما ما
hadith|224|أحبوا الله لما يغذوكم به من نعمه، وأحبوني لحب الله، وأحبوا أهل بيتي لحبي
hadith|225|أحبوا العرب لثلاث: لأني عربي، والقرآن عربي، وكلام أهل الجنة عربي
hadith|226|أحبوا قريشا فإنه من أحبهم أحبه الله
hadith|227|أحبوا الفقراء وجالسوهم، وأحب العرب من قلبك، وليردك عن الناس ما تعلم من نفسك
hadith|228|احبسوا صبيانكم حتى تذهب فوعة العشاء، فإنها ساعة تخترق فيها الشياطين
hadith|229|احبسوا على المؤمنين ضالتهم: العلم
hadith|230|احتجموا لخمس عشرة، أو لسبع عشرة، أو لتسع عشرة، أو إحدى وعشرين، لا يتبيغ بكم الدم فيقتلكم
hadith|231|احترسوا من الناس بسوء الظن
hadith|232|احتكار الطعام في الحرم إلحاد فيه
hadith|233|احتكار الطعام بمكة إلحاد
hadith|234|احثوا التراب في وجوه المداحين
hadith|235|احثوا في أفواه المداحين التراب
hadith|236|أحد يا سعد
hadith|237|أحد، أحد
hadith|238|أحد جبل يحبنا ونحبه
hadith|239|أحد جبل يحبنا ونحبه، فإذا جئتموه فكلوا من شجره، ولو من عضاهه
hadith|240|أحد ركن من أركان الجنة
hadith|241|أحد هذا جبل يحبنا ونحبه، على باب من أبواب الجنة، وهذا عير يبغضنا ونبغضه، وإنه على باب من أبواب النار
hadith|242|أحد أبوي بلقيس كان جنيا
hadith|243|احذروا فراسة المؤمن، فإنه ينظر بنور الله، وينطق بتوفيق الله
hadith|244|احذروا زلة العالم، فإن زلته تكبكبه في النار
hadith|245|احذروا الدنيا، فإنها أسحر من هاروت وماروت
hadith|246|احذروا الدنيا، فإنها خضرة حلوة
hadith|247|احذروا الشهوة الخفية: العالم يحب أن يجلس إليه
hadith|248|احذروا الشهرتين: الصوف، والخز
hadith|249|احذروا صفر الوجوه، فإنه إن لم يكن من علة أو سهر فإنه من غل في قلوبهم للمسلمين
hadith|250|احذروا البغي، فإنه ليس من عقوبة هي أحضر من عقوبة البغي
hadith|251|احرثوا فإن الحرث مبارك، وأكثروا فيه من الجماجم
hadith|252|أحسن الناس قراءة الذي إذا قرأ رأيت أنه يخشى الله
hadith|253|أحسن الناس قراءة من قرأ القرآن يتحزن به
hadith|254|أحسنوا إذا وليتم، واعفوا عما ملكتم
hadith|255|أحسنوا جوار نعم الله لا تنفروها، فقلما زالت عن قوم فعادت إليهم
hadith|256|أحسنوا إقامة الصفوف في الصلاة
hadith|257|أحسنوا لباسكم، وأصلحوا رحالكم، حتى تكونوا كأنكم شامة في الناس
hadith|258|أحسنوا الأصوات بالقرآن
hadith|259|أحسنوا إلى محسن الأنصار، واعفوا عن مسيئهم
hadith|260|أحصوا هلال شعبان لرمضان
hadith|261|احضروا الجمعة، وادنوا من الإمام، فإن الرجل لا يزال يتباعد حتى يؤخر في الجنة وإن دخلها
hadith|262|احفظ لسانك
hadith|263|احفظ ما بين لحييك، وما بين رجليك
hadith|264|احفظ عورتك إلا من زوجتك أو ما ملكت يمينك، قيل: إذا كان القوم بعضهم في بعض، قال إن استطعت إن لا يرينها أحد فلا يرينها، قيل: إذا كان أحدنا خاليا. قال: الله أحق أن يستحيا منه من الناس
hadith|265|احفظ ود أبيك، لا تقطعه فيطفئ الله نورك
hadith|266|احفظوني في العباس، فإنه عمي وصنو أبي
hadith|267|احفظوني في أصحابي وأصهاري، فمن حفظني فيهم حفظه الله في الدنيا والآخرة، ومن لم يحفظني فيهم تخلى الله منه، ومن تخلى الله منه أوشك أن يأخذه
hadith|268|احفوا الشوارب، وأعفوا اللحى
hadith|269|احفوا الشوارب، وأعفوا اللحى، ولا تشبهوا باليهود
hadith|270|احفوا الشوارب، وأعفوا اللحى، وانتفوا الشعر الذي في الآناف
hadith|271|أحق ما صليتم على أطفالكم
hadith|272|أحل الذهب والحرير لإناث أمتي، وحرم عن ذكورها
hadith|273|أحلت لنا ميتتان ودمان: فأما الميتتان فالحوت والجراد، وأما الدمان فالكبد والطحال
hadith|274|احلفوا بالله وبروا واصدقوا، فإن الله يحب أن يحلف به
hadith|275|احلقوه كله، أو اتركوه كله
hadith|276|احملوا النساء على أهوائهن
hadith|277|أخاف على أمتي ثلاثا: زلة عالم، وجدال منافق بالقرآن، والتكذيب بالقدر
hadith|278|أخاف على أمتي من بعدي ثلاثا: ضلالة الأهواء: واتباع الشهوات في البطون والفروج، والغفلة بعد المعرفة
hadith|279|أخاف على أمتي من بعدي ثلاثا: حيف الأئمة، وإيمانا بالنجوم، وتكذيبا بالقدر
hadith|280|أخاف على أمتي من بعدي خصلتين: تكذيبا بالقدر، وتصديقا بالنجوم
hadith|281|أخبرني جبريل أن حسينا يقتل بشاطئ الفرات
hadith|282|أخبروني بشجرة شبه الرجل المسلم لا يتحات ورقها، ولا، ولا، ولا، تؤتي أكلها كل حين، هي النخلة
hadith|283|أخبر تقله
hadith|284|اختتن إبراهيم وهو ابن ثمانين سنة بالقدوم
hadith|285|اختضبوا بالحناء فإنه طيب الريح، يسكن الروع
hadith|286|اختضبوا بالحناء، فإنه يزيد في شبابكم، وجمالكم، ونكاحكم
hadith|287|اختضبوا، وافرقوا، وخالفوا اليهود
hadith|288|اختلاف أمتي رحمة
hadith|289|أخذ الأمير الهدية سحت، وقبول القاضي الرشوة كفر
hadith|290|أخذنا فألك من فيك
hadith|291|أخر الكلام في القدر لشرار أمتي في آخر الزمان
